INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (1, 'Machine1', 'Address1', 'user1');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (2, 'Machine2', 'Address2', 'user1');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (3, 'Machine3', 'Address3', 'user2');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (4, 'Machine4', 'Address4', 'user2');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (5, 'Machine5', 'Address5', 'user3');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (6, 'Machine6', 'Address6', 'user3');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (7, 'Machine7', 'Address7', 'user4');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (8, 'Machine8', 'Address8', 'user4');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (9, 'Machine9', 'Address9', 'user5');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (10, 'Machine10', 'Address10', 'user5');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (11, 'Machine11', 'Address11', 'user6');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (12, 'Machine12', 'Address12', 'user6');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (13, 'Machine13', 'Address13', 'user7');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (14, 'Machine14', 'Address14', 'user7');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (15, 'Machine15', 'Address15', 'user8');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (16, 'Machine16', 'Address16', 'user8');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (17, 'Machine17', 'Address17', 'user9');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (18, 'Machine18', 'Address18', 'user9');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (19, 'Machine19', 'Address19', 'user10');
INSERT INTO Machine (machineID, machineName, machineAddress, idUsuario) VALUES (20, 'Machine20', 'Address20', 'user10');
